"Notes"	"Residence Census Region"	"Residence Census Region Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 07 ending February 20, 2021"	"2021/07"	11944	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 08 ending February 27, 2021"	"2021/08"	11504	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 09 ending March 06, 2021"	"2021/09"	10966	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 10 ending March 13, 2021"	"2021/10"	10680	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 11 ending March 20, 2021"	"2021/11"	10701	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 12 ending March 27, 2021"	"2021/12"	10605	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 13 ending April 03, 2021"	"2021/13"	10197	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 14 ending April 10, 2021"	"2021/14"	10474	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 15 ending April 17, 2021"	"2021/15"	10248	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 16 ending April 24, 2021"	"2021/16"	10374	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 17 ending May 01, 2021"	"2021/17"	10243	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 18 ending May 08, 2021"	"2021/18"	9984	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 19 ending May 15, 2021"	"2021/19"	9872	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 20 ending May 22, 2021"	"2021/20"	10052	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 21 ending May 29, 2021"	"2021/21"	9346	Not Applicable	Not Applicable
